scene_id,key,final
1_60,1_60_u,"This is illocutionary sarcasm because Sheldon's tone and facial expressions contradict the literal praise, indicating he doesn't genuinely admire Leonard's intellect."
1_70,1_70_u,"This is illocutionary sarcasm because Penny's tone and facial cues contradict her enthusiastic words, indicating disinterest rather than genuine excitement."
1_105,1_105_u,"This is embedded sarcasm because the phrase ""tiny garage sale"" contradicts the context of a messy living room, implying absurdity in the organizational system."
1_175,1_175_u,"This is propositional sarcasm because Sheldon implies the song is depressing, opposite to Leonard's positive comment, using a darkly humorous context about a mix CD."
1_182,1_182_u,"This is propositional sarcasm because Sheldon states the sweat stains ""conceal"" perspiration, implying the opposite, as they actually reveal it."
1_213,1_213_u,"This is embedded sarcasm because Sheldon's words superficially praise Dr. Gablehauser, but the context reveals a critique of his lack of original research."
1_276,1_276_u,"This is propositional sarcasm because Leonard implies his parents' actions were to avoid bullying, but actually suggests they made him more of a target."
1_340,1_340_u,"This is propositional sarcasm because Raj's statement implies absurdity, opposing the literal meaning, highlighting the ridiculousness of cutting him in half."
1_427,1_427_u,"This is propositional sarcasm because Sheldon implies regret, but his tone and facial expressions suggest he is not genuinely sorry about canceling the membership."
1_507,1_507_u,This is embedded sarcasm because the absurdity of a trash can forming around a letter contradicts the logical explanation of someone discarding it.
1_536,1_536_u,This is propositional sarcasm because Sheldon's exaggerated enthusiasm contrasts with the mundane nature of a physics journal.
1_537,1_537_u,"This is propositional sarcasm because Penny implies excitement about Applied Particle Physics, which she likely finds uninteresting, contrasting her actual feelings."
1_971,1_971_u,"This is propositional sarcasm because Howard implies urgency by suggesting waiting until his tongue swells, which is the opposite of his actual intention."
1_1003,1_1003_u,"This is propositional sarcasm because Howard's suggestion to ""cop a feel"" contradicts the expected supportive behavior, implying insincerity in his advice to comfort Penny."
1_1144,1_1144_u,"This is propositional sarcasm because Sheldon implies Leonard's claim of dating ""plenty"" is exaggerated, suggesting two is insufficient to redefine ""plenty."""
1_1180,1_1180_u,"This is propositional sarcasm because Sheldon implies Leslie's scientific contributions are worthless, opposite to the expected respect for a fellow scientist."
1_1296,1_1296_u,This is embedded sarcasm because Howard's disbelief about Raj having an assistant contrasts with his exaggerated struggle to obtain a simple pen.
1_1466,1_1466_u,"This is propositional sarcasm because Sheldon implies his paper is literally breath-taking, suggesting an inhaler is needed, mocking the exaggerated praise."
1_1478,1_1478_u,"This is embedded sarcasm because ""lucky for her"" contradicts the negative traits ""pruny and bug-eyed,"" implying it's not actually lucky or desirable."
1_1549,1_1549_u,"This is propositional sarcasm, because Howard's literal suggestion of a highway in Bakersfield contrasts with the obvious location of the Mars Rover on Mars."
1_1560,1_1560_u,"This is propositional sarcasm because Sheldon implies the opposite of ""nice"" by suggesting a prison visit, highlighting disapproval or skepticism about Howard's friend."
1_1638,1_1638_u,"This is propositional sarcasm because Leonard's statement implies a threat, but he has no intention of committing murder, highlighting the absurdity of the situation."
1_1732,1_1732_u,"This is illocutionary sarcasm because the exaggerated tone and facial cues suggest disbelief, contradicting the literal praise of Sheldon's condition."
1_1772,1_1772_u,"This is propositional sarcasm because Howard implies Leonard's new friend is important, but contextually, it's meant to mock Leonard's absence from the group activity."
1_1798,1_1798_u,"This is propositional sarcasm because Raj suggests building a bear, which is an absurd alternative to buying lotions, implying he doesn't take the complaint seriously."
1_1803,1_1803_u,"This is propositional sarcasm because Leonard implies disbelief, suggesting ""yoga"" sounds like many words, contradicting Penny's consistent excuse."
1_1931,1_1931_u,"This is propositional sarcasm because Leonard suggests an absurd action, implying the opposite: that Sheldon's plan is unrealistic or unnecessary."
1_1973,1_1973_u,This is propositional sarcasm because Penny's exaggerated tone and context imply she doesn't actually wish to remain a waitress forever.
1_1987,1_1987_u,"This is embedded sarcasm because the phrase ""enjoy the ambience"" contradicts the unpleasant situation of having no electricity due to unpaid bills."
1_2119,1_2119_u,"This is propositional sarcasm because the speaker implies the opposite, suggesting fear and anxiety make one feel alive, which is absurd."
1_2198,1_2198_u,"This is propositional sarcasm because Sheldon implies the conversation is pointless, contrasting his engagement in it, indicating it's not truly pointless to him."
1_2354,1_2354_u,"This is propositional sarcasm because Sheldon implies that labeling is not always truthful, opposing the literal expectation that boxes are accurately labeled."
1_2464,1_2464_u,"This is propositional sarcasm because Penny implies the opposite, suggesting ""coffee"" is a euphemism, not a literal invitation, mocking the other person's naivety."
1_2580,1_2580_u,"This is propositional sarcasm because Howard's suggestion is exaggeratedly impractical, contrasting the serious technical discussion, implying it's an absurd solution rather than a genuine proposal."
1_2614,1_2614_u,"This is propositional sarcasm because Leonard likely does not actually think about Sheldon's proposal daily, implying the opposite of his literal statement."
1_2616,1_2616_u,"This is propositional sarcasm because Leonard's statement humorously implies violence, contrasting the admiration Sheldon expects, highlighting the absurdity of Sheldon's grandiose expectations."
1_2778,1_2778_u,"This is propositional sarcasm because Raj's comment implies Sheldon is not tough, contrasting his boastful claims of physical prowess."
