prediction,reference
"This is illocutionary sarcasm because Howard's quiet tone and facial expressions suggest disbelief, contrasting the literal meaning of his statement about the tickets.","This is illocutionary sarcasm because Howard's quiet tone and cheek raise suggest disbelief or mockery, contrasting with the literal complaint about ticket costs."
"This is illocutionary sarcasm because Chandler's tone and facial expressions suggest disbelief, contrasting with the literal meaning of being nervous.","This is illocutionary sarcasm because Chandler's tone and facial cues suggest humor, contrasting the serious context of discussing prehistoric species."
"This is illocutionary sarcasm because Howard's tone and facial expressions suggest disbelief or mockery, contrasting with the literal suggestion of irritated passengers affecting driving.","This is illocutionary sarcasm because Howard's cheek raise and lip corner depress suggest mockery, contrasting the serious tone of discussing distracted driving."
"This is illocutionary sarcasm because Bernadette's tone and facial expressions suggest disbelief, contrasting the literal statement about Leonard's hope.","This is illocutionary sarcasm because Bernadette's tone and cheek raise suggest mockery, contrasting the literal congratulatory sentiment about Leonard's supposed desire."
"This is illocutionary sarcasm because Chandler's tone and facial expressions suggest disbelief, contrasting the literal question about Emma's nap enjoyment.","This is illocutionary sarcasm because Chandler's tone and facial cues suggest disbelief or mockery, contrasting with the literal question about Emma's enjoyment."
"This is illocutionary sarcasm because Chandler's tone and facial expressions suggest disbelief, contradicting the literal concern about his boss's judgment.","This is illocutionary sarcasm because Chandler's cheek raise and lip press indicate humor, contrasting the serious implication of being seen as an idiot."
This is illocutionary sarcasm because Chandler's tone and facial expressions suggest mockery rather than genuine concern for Monica needing a break.,"This is illocutionary sarcasm, because Chandler's tone and facial cues suggest mockery, contradicting the literal apology and concern in his words."
"This is illocutionary sarcasm because Chandler's exaggerated tone and facial expressions suggest disbelief, contrasting the absurdity of leaving ears in a bulldozer.",This is illocutionary sarcasm because Chandler's playful tone and exaggerated facial expressions contradict the literal claim of owning a bulldozer and tools.
"This is illocutionary sarcasm because Penny's tone and facial expressions suggest disbelief, contrasting with the literal meaning of her words.","This is illocutionary sarcasm because Penny's exaggerated tone and facial expressions contrast with the literal meaning, indicating disbelief rather than genuine surprise."
"This is illocutionary sarcasm because Howard's tone and facial expressions suggest disbelief, contrasting with the literal question about the woman's intentions.",This is illocutionary sarcasm because Howard's exaggerated tone and facial expressions suggest disbelief in the literal meaning of the question about parental issues.
"This is illocutionary sarcasm because Sheldon's tone and facial expressions suggest disbelief or mockery, contrasting with the literal acceptance of Leonard's opportunity.","This is illocutionary sarcasm because Sheldon's high pitch, energy variance, and facial expressions suggest disbelief, contradicting the literal supportive tone."
"This is illocutionary sarcasm because Erlich's exaggerated tone and facial expressions suggest disbelief, contrasting the literal gratitude expressed in his words.","This is illocutionary sarcasm because Erlich's sigh and flat tone contrast with the literal gratitude expressed, indicating frustration rather than genuine appreciation."
"This is illocutionary sarcasm because Penny's exaggerated tone and facial expressions suggest she finds the joke insincere, contrasting with her literal statement of laughing for the first time.",This is illocutionary sarcasm because Penny's tone and facial cues contradict her literal claim of finding the joke funny.
"This is illocutionary sarcasm because the low pitch and cheek raise suggest disbelief, contrasting the literal comfort expressed.","This is illocutionary sarcasm because the speaker's tone and facial cues contradict the comforting intent, indicating disbelief or mockery."
"This is illocutionary sarcasm because the exaggerated pitch and facial expressions suggest disbelief, contrasting with the literal statement about the sunglasses' origin.","This is illocutionary sarcasm because the cheek raise and dimple suggest a mocking tone, contrasting the literal claim about the sunglasses' origin."
"This is illocutionary sarcasm because Raj's tone and facial expressions suggest mockery, contrasting the literal statement about being in a hot tub with Stuart.","This is illocutionary sarcasm because Raj's tone and facial cues suggest dissatisfaction, contrasting with the literal implication of enjoyment in a hot tub."
"This is illocutionary sarcasm because Howard's tone and facial expressions suggest disbelief or mockery, contrasting with the literal question about mental hospitals.","This is illocutionary sarcasm because Howard's cheek raise and dimple, combined with a mocking tone, contradict the literal inquiry about a mental hospital."
"This is illocutionary sarcasm because Phoebe's tone and exaggerated emphasis suggest disbelief, contrasting with the literal question about abilities.",This is illocutionary sarcasm because Phoebe's exaggerated tone and rhetorical question imply disbelief rather than genuine admiration for the girl's abilities.
"This is embedded sarcasm, because Howard implies Raj's ""period"" is real, contradicting the earlier mention of a monthly hormone cycle, which is not literally true for men.","This is embedded sarcasm, because Howard's mention of ""raj's actual period"" contradicts the biological impossibility of men having a menstrual cycle."
"This is embedded sarcasm, because Howard's statement implies Penny will easily find new partners, contradicting the serious concern Leonard expressed about her ex-boyfriend staying.","This is embedded sarcasm because the phrase ""when you figure out how to build one"" contradicts Leonard's ability to find a girlfriend naturally."
